B06n0003_001#p0004b18|梵網經第一
B06n0006_001#p0346b26|10 第十　魔罥經
B06n0006_001#p0347a15|1 第一　福業事經
B06n0006_001#p0347a27|2 第二　眼經
B06n0006_001#p0347b09|3 第三　根經
B06n0006_001#p0347b22|4 第四　時經
B06n0006_001#p0348a06|5 第五　惡行經
B06n0006_001#p0348a15|6 第六　善行經
B06n0006_001#p0348a25|7 第七　清淨經
B06n0006_001#p0348b08|8 第八　寂經
B06n0006_001#p0348b21|9 第九　貪經之一
B06n0006_001#p0349a04|10 第十　貪經之二
B06n0006_001#p0349a24|1 第一　邪見經
B06n0006_001#p0349b11|2 第二　正見經
B06n0006_001#p0349b25|3 第三　出離經
B06n0006_001#p0350a09|4 第四　色經
B06n0006_001#p0350a22|5 第五　兒子經
B06n0006_001#p0350b21|6 第六　不降雨經
B06n0006_001#p0351a19|7 第七　樂經
B06n0006_001#p0351b10|8 第八　滅壞經
B06n0006_001#p0351b20|9 第九　界經
B06n0006_001#p0352a08|10 第十　退失經
B06n0006_001#p0352b06|1 第一　尋思經
B06n0006_001#p0352b18|2 第二　恭敬經
B06n0006_001#p0353a07|3 第三　聲經
B06n0006_001#p0353a26|4 第四　天經
B06n0006_001#p0353b19|5 第五　世間經
B06n0006_001#p0354a15|6 第六　不淨經
B06n0006_001#p0354a26|7 第七　法經
B06n0006_001#p0354b07|8 第八　黑暗經
B06n0006_001#p0354b22|9 第九　污經
B06n0006_001#p0355a09|10 第十　提婆達多經
B06n0006_001#p0355b07|1 第一　勝信經
B06n0006_001#p0356a05|2 第二　活命經
B06n0006_001#p0356a21|3 第三　和合衣經
B06n0006_001#p0356b08|4 第四　火經
B06n0006_001#p0356b25|5 第五　觀察經
B06n0006_001#p0357a05|6 第六　生經
B06n0006_001#p0357a15|7 第七　欲經
B06n0006_001#p0357a25|8 第八　善經
B06n0006_001#p0357b15|9 第九　施經
B06n0006_001#p0357b26|10 第十　法經
B06n0006_001#p0358b06|1 第一　婆羅門經
B06n0006_001#p0358b21|2 第二　四事經
B06n0006_001#p0359a05|3 第三　知經
B06n0006_001#p0359a15|4 第四　沙門經
B06n0006_001#p0359b01|5 第五　戒經
B06n0006_001#p0359b13|6 第六　愛經
B06n0006_001#p0359b22|7 第七　梵經
B06n0006_001#p0360a04|8 第八　資護經
B06n0006_001#p0360a16|9 第九　欺誑經
B06n0006_001#p0360a26|10 第十　人經
B06n0006_001#p0360b12|11 第十一　行經
B06n0006_001#p0361a05|12 第十二　具足戒經
B06n0006_001#p0361a23|13 第十三經　世間經
B07n0020_001#p0163a02|隨念三寶經
B07n0020_001#p0163a07|隨念佛經
B07n0020_001#p0164a02|隨念法經
B07n0020_001#p0164a07|隨念僧經
B08n0026_002#p0532b20|（1）毘婆尸佛所說戒經
B08n0026_002#p0534a24|（2）尸棄佛所說戒經
B08n0026_002#p0534b18|（3）毗葉羅佛所說戒經
B08n0026_002#p0535b18|（4）拘留孫佛所說戒經
B08n0026_002#p0537a03|（5）拘那含牟尼佛所說戒經
B08n0026_002#p0537a16|（6）迦葉佛所說戒經
B08n0026_002#p0537b03|（7）本師釋迦牟尼佛所說戒經
