T01n0001_001.xml#p0001b11|1 大本經
T01n0026_003.xml#p0439c23|17 伽彌尼經
T01n0026_004.xml#p0440c22|18 師子經
T01n0026_004.xml#p0442b29|19 尼乾經
T01n0026_004.xml#p0445a25|20 波羅牢經
T01n0026_005.xml#p0448c19|21 等心經
T01n0026_005.xml#p0449c07|22 成就戒經
T01n0026_005.xml#p0451a01|23 智經
T01n0026_005.xml#p0452b22|24 師子吼經
T01n0026_005.xml#p0454a03|25 水喻經
T01n0026_006.xml#p0454c24|26 瞿尼師經
T01n0026_006.xml#p0456a22|27 梵志陀然經
T01n0026_006.xml#p0458b28|28 教化病經
T01n0026_007.xml#p0461b22|29 大拘絺羅經
T01n0026_007.xml#p0464b17|30 象跡喻經
T01n0026_007.xml#p0467a28|31 分別聖諦經
T01n0026_008.xml#p0469c20|32 未曾有法經
T01n0026_008.xml#p0471c27|33 侍者經
T01n0026_008.xml#p0475a11|34 薄拘羅經
T01n0026_008.xml#p0475c16|35 阿修羅經
T01n0026_009.xml#p0477b23|36 地動經
T01n0026_009.xml#p0478b13|37 瞻波經
T01n0026_009.xml#p0479c11|38 郁伽長者經
T01n0026_009.xml#p0481b13|39 郁伽長者經
T01n0026_009.xml#p0482c07|40 手長者經
T01n0026_009.xml#p0484b28|41 手長者經
T01n0026_010.xml#p0485a13|42 何義經
T01n0026_010.xml#p0485b19|43 不思經
T01n0026_010.xml#p0485c22|44 念經
T01n0026_010.xml#p0486a05|45 慚愧經
T01n0026_010.xml#p0486a21|46 慚愧經
T01n0026_010.xml#p0486b23|47 戒經
T01n0026_010.xml#p0486c03|48 戒經
T01n0026_010.xml#p0486c21|49 恭敬經
T01n0026_010.xml#p0487a15|50 恭敬經
T01n0026_010.xml#p0487b03|51 本際經
T01n0026_010.xml#p0487c24|52 食經
T01n0026_010.xml#p0489a25|53 食經
T01n0026_010.xml#p0489c28|54 盡智經
T01n0026_010.xml#p0490b29|55 涅槃經
T01n0026_010.xml#p0491a14|56 彌醯經
T01n0026_010.xml#p0492a13|57 即為比丘說經
T01n0026_011.xml#p0493a10|58 七寶經
T01n0026_011.xml#p0493a24|59 三十二相經
T01n0026_011.xml#p0494b09|60 四洲經
T01n0026_011.xml#p0496a15|61 牛糞喻經
T01n0026_011.xml#p0497b02|62 頻鞞娑邏王迎佛經
T01n0026_012.xml#p0499a09|63 鞞婆陵耆經
T01n0026_012.xml#p0503a21|64 天使經
T01n0026_013.xml#p0506b11|65 烏鳥喻經
T01n0026_013.xml#p0508c09|66 說本經
T01n0026_014.xml#p0511c21|67 大天奈林經
T01n0026_014.xml#p0515b03|68 大善見王經
T01n0026_015.xml#p0518c09|69 三十喻經
T01n0026_015.xml#p0520b16|70 轉輪王經
T01n0026_016.xml#p0525a10|71 蜱肆經
T01n0026_017.xml#p0532c09|72 長壽王本起經
T01n0026_018.xml#p0539b19|73 天經
T01n0026_018.xml#p0540c18|74 八念經
T01n0026_018.xml#p0542b03|75 淨不動道經
T01n0026_018.xml#p0543c01|76 郁伽支羅經
T01n0026_018.xml#p0544b21|77 娑雞帝三族姓子經
T01n0026_019.xml#p0547a09|78 梵天請佛經
T01n0026_019.xml#p0549b03|79 有勝天經
T01n0026_019.xml#p0551c26|80 迦絺那經
T01n0026_020.xml#p0554c10|81 念身經
T01n0026_020.xml#p0557c17|82 支離彌梨經
T01n0026_020.xml#p0559b27|83 長老上尊睡眠經
T01n0026_021.xml#p0560b22|84 無刺經
T01n0026_021.xml#p0561a20|85 真人經
T01n0026_021.xml#p0562a19|86 說處經
T01n0026_022.xml#p0566a13|87 穢品經
T01n0026_022.xml#p0569c23|88 求法經
T01n0026_023.xml#p0571b29|89 比丘請經
T01n0026_023.xml#p0572c14|90 知法經
T01n0026_023.xml#p0573b13|91 周那問見經
T01n0026_023.xml#p0574c01|92 青白蓮華喻經
T01n0026_023.xml#p0575a19|93 水淨梵志經
T01n0026_023.xml#p0576a16|94 黑比丘經
T01n0026_023.xml#p0577b02|95 住法經
T01n0026_023.xml#p0577c15|96 無經
T01n0026_024.xml#p0578b07|97 大因經
T01n0026_024.xml#p0582b07|98 念處經
T01n0026_025.xml#p0584c08|99 苦陰經
T01n0026_025.xml#p0586b02|100 苦陰經
T01n0026_025.xml#p0588a03|101 增上心經
T01n0026_025.xml#p0589a11|102 念經
T01n0026_026.xml#p0590b05|103 師子吼經
T01n0026_026.xml#p0591b26|104 優曇婆邏經
T01n0026_026.xml#p0595c11|105 願經
T01n0026_026.xml#p0596b09|106 想經
T01n0026_027.xml#p0596c25|107 林經
T01n0026_027.xml#p0597c11|108 林經
T01n0026_027.xml#p0598b07|109 自觀心經
T01n0026_027.xml#p0598c21|110 自觀心經
T01n0026_027.xml#p0599b08|111 達梵行經
T01n0026_027.xml#p0600b28|112 阿奴波經
T01n0026_028.xml#p0602b28|113 諸法本經
T01n0026_028.xml#p0603a03|114 優陀羅經
T01n0026_028.xml#p0603b09|115 蜜丸喻經
T01n0026_028.xml#p0605a08|116 瞿曇彌經
T01n0026_029.xml#p0607c04|117 柔軟經
T01n0026_029.xml#p0608b02|118 龍象經
T01n0026_029.xml#p0609a06|119 說處經
T01n0026_029.xml#p0609c02|120 說無常經
T01n0026_029.xml#p0610a08|121 請請經
T01n0026_029.xml#p0610c22|122 瞻波經
T01n0026_029.xml#p0611c26|123 沙門二十億經
T01n0026_029.xml#p0613a27|124 八難經
T01n0026_029.xml#p0614a13|125 貧窮經
T01n0026_030.xml#p0615a08|126 行欲經
T01n0026_030.xml#p0616a05|127 福田經
T01n0026_030.xml#p0616a27|128 優婆塞經
T01n0026_030.xml#p0617b19|129 怨家經
T01n0026_030.xml#p0618b18|130 教曇彌經
T01n0026_030.xml#p0620b07|131 降魔經
T01n0026_031.xml#p0623a11|132 賴吒和羅經
T01n0026_032.xml#p0628a18|133 優婆離經
T01n0026_033.xml#p0632c27|134 釋問經
T01n0026_033.xml#p0638c06|135 善生經
T01n0026_034.xml#p0642a28|136 商人求財經
T01n0026_034.xml#p0645b09|137 世間經
T01n0026_034.xml#p0645c14|138 福經
T01n0026_034.xml#p0646c09|139 息止道經
T01n0026_034.xml#p0647a15|140 至邊經
T01n0026_034.xml#p0647b18|141 喻經
T01n0026_035.xml#p0648a24|142 雨勢經
T01n0026_035.xml#p0650b09|143 傷歌邏經
T01n0026_035.xml#p0652a07|144 算數目揵連經
T01n0026_036.xml#p0653c20|145 瞿默目揵連經
T01n0026_036.xml#p0656a14|146 象跡喻經
T01n0026_036.xml#p0658a29|147 聞德經
T01n0026_036.xml#p0659b15|148 何苦經
T01n0026_037.xml#p0660c01|149 何欲經
T01n0026_037.xml#p0660c29|150 鬱瘦歌邏經
T01n0026_037.xml#p0663b25|151 阿攝和經
T01n0026_038.xml#p0666c26|152 鸚鵡經
T01n0026_038.xml#p0670a26|153 鬚閑提經
T01n0026_039.xml#p0673b04|154 婆羅婆堂經
T01n0026_039.xml#p0677a08|155 須達哆經
T01n0026_039.xml#p0678a23|156 梵波羅延經
T01n0026_040.xml#p0679b04|157 黃蘆園經
T01n0026_040.xml#p0680b20|158 頭那經
T01n0026_040.xml#p0681c25|159 阿伽羅訶那經
T01n0026_040.xml#p0682b10|160 阿蘭那經
T01n0026_041.xml#p0685a05|161 梵摩經
T01n0026_042.xml#p0690a19|162 分別六界經
T01n0026_042.xml#p0692b22|163 分別六處經
T01n0026_042.xml#p0694b13|164 分別觀法經
T01n0026_043.xml#p0696b26|165 溫泉林天經
T01n0026_043.xml#p0698c03|166 釋中禪室尊經
T01n0026_043.xml#p0699c27|167 阿難說經
T01n0026_043.xml#p0700b24|168 意行經
T01n0026_043.xml#p0701b22|169 拘樓瘦無諍經
T01n0026_044.xml#p0703c21|170 鸚鵡經
T01n0026_044.xml#p0706b12|171 分別大業經
T01n0026_045.xml#p0709a12|172 心經
T01n0026_045.xml#p0709c22|173 浮彌經
T01n0026_045.xml#p0711b17|174 受法經
T01n0026_045.xml#p0712c04|175 受法經
T01n0026_046.xml#p0713c21|176 行禪經
T01n0026_046.xml#p0716b13|177 說經
T01n0026_047.xml#p0718b23|178 獵師經
T01n0026_047.xml#p0720a28|179 五支物主經
T01n0026_047.xml#p0721c21|180 瞿曇彌經
T01n0026_047.xml#p0723a08|181 多界經
T01n0026_048.xml#p0724c17|182 馬邑經
T01n0026_048.xml#p0725c16|183 馬邑經
T01n0026_048.xml#p0726c25|184 牛角娑羅林經
T01n0026_048.xml#p0729b27|185 牛角娑羅林經
T01n0026_048.xml#p0731a29|186 求解經
T01n0026_049.xml#p0732a21|187 說智經
T01n0026_049.xml#p0734a27|188 阿夷那經
T01n0026_049.xml#p0735b27|189 聖道經
T01n0026_049.xml#p0736c27|190 小空經
T01n0026_049.xml#p0738a03|191 大空經
T01n0026_050.xml#p0740c15|192 加樓烏陀夷經
T01n0026_050.xml#p0744a04|193 牟犁破群那經
T01n0026_051.xml#p0746b18|194 跋陀和利經
T01n0026_051.xml#p0749c01|195 阿濕貝經
T01n0026_052.xml#p0752c11|196 周那經
T01n0026_052.xml#p0755c17|197 優婆離經
T01n0026_052.xml#p0757a03|198 調御地經
T01n0026_053.xml#p0759a19|199 癡慧地經
T01n0026_054.xml#p0763b01|200 阿梨吒經
T01n0026_054.xml#p0766b28|201 𠻬帝經
T01n0026_055.xml#p0770a16|202 持齋經
T01n0026_055.xml#p0773a02|203 晡利多經
T01n0026_056.xml#p0775c07|204 羅摩經
T01n0026_056.xml#p0778c09|205 五下分結經
T01n0026_056.xml#p0780b15|206 心穢經
T01n0026_057.xml#p0781b27|207 箭毛經
T01n0026_057.xml#p0783c03|208 箭毛經
T01n0026_057.xml#p0786b12|209 鞞摩那修經
T01n0026_058.xml#p0788a14|210 法樂比丘尼經
T01n0026_058.xml#p0790b08|211 大拘絺羅經
T01n0026_059.xml#p0792c13|212 一切智經
T01n0026_059.xml#p0795b17|213 法莊嚴經
T01n0026_059.xml#p0797c07|214 鞞訶提經
T01n0026_059.xml#p0799b27|215 第一得經
T01n0026_060.xml#p0800c20|216 愛生經
T01n0026_060.xml#p0802a11|217 八城經
T01n0026_060.xml#p0802c28|218 阿那律陀經
T01n0026_060.xml#p0803a24|219 阿那律陀經
T01n0026_060.xml#p0803c08|220 見經
T01n0026_060.xml#p0804a21|221 箭喻經
T01n0026_060.xml#p0805c10|222 例經
T02n0101_001.xml#p0498c19|27 佛說七處三觀經
T02n0150A_001.xml#p0880b10|30 佛說積骨經
T03n0152_002.xml#p0006a27|11 波耶王經〔波耶王本生〕
T03n0152_002.xml#p0006c10|12 波羅奈國王經〔迦蘭王本生〕
T03n0152_002.xml#p0007a23|13 薩和檀王經〔薩和檀王本生〕
T03n0152_002.xml#p0007c27|14 須大拏經〔須大拏太子本生〕
T03n0152_003.xml#p0011c19|16 四姓經
T03n0152_004.xml#p0020b06|38 太子墓魄經〔墓魄太子本生〕
T03n0152_004.xml#p0021a09|39 彌蘭經〔彌蘭王本生〕
T03n0152_004.xml#p0021c08|40 頂生聖王經〔頂生王本生〕
T03n0152_004.xml#p0022b16|41 普明王經〔普明王本生〕
T03n0152_005.xml#p0029b24|51 雀王經〔雀王本生〕
T03n0152_005.xml#p0029c11|52 之裸國經〔叔本生〕
T03n0152_005.xml#p0030a10|53 六年守飢畢罪經〔國王本生〕
T03n0152_005.xml#p0030b28|54 釋家畢罪經
T03n0152_006.xml#p0034b12|64 蜜蜂王經〔精進辨比丘本生〕
T03n0152_006.xml#p0035a12|65 佛以三事笑經〔清信士本生〕
T03n0152_006.xml#p0035b22|66 小兒聞法即解經〔小兒本生〕
T03n0152_006.xml#p0036a29|67 殺身濟賈人經〔商人本生〕
T03n0152_006.xml#p0036c28|69 調達教人為惡經〔天王本生〕
T03n0152_006.xml#p0037a17|70 殺龍濟一國經〔兄本生〕
T03n0152_006.xml#p0037b23|71 彌勒為女人身經〔帝釋本生〕
T03n0152_006.xml#p0038a10|72 女人求願經〔婦人本生〕
T03n0152_006.xml#p0038c04|73 然燈授決經〔獨母本生〕
T03n0152_008.xml#p0046b05|84 遮羅國王經〔太子本生〕
T03n0152_008.xml#p0047b15|85 菩薩以明離鬼妻經〔凡人本生〕
T03n0152_008.xml#p0047c20|86 儒童受決經〔儒童梵志本生〕
T03n0152_008.xml#p0048b25|87 摩調王經〔南王本生〕
T03n0152_008.xml#p0049b24|88 阿離念彌經〔阿離念彌長者本生〕
T03n0152_008.xml#p0050c01|89 鏡面王經〔鏡面王本生〕
T03n0152_008.xml#p0051b07|90 察微王經〔察微王本生〕
T03n0152_008.xml#p0051c29|91 梵摩皇經
T03n0154_001.xml#p0070a15|1 佛說那賴經
T03n0154_001.xml#p0070c27|2 佛說分衛比丘經
T03n0154_001.xml#p0071c11|3 佛說和難經
T03n0154_001.xml#p0072c13|4 佛說邪業自活經
T03n0154_001.xml#p0073b10|5 佛說是我所經
T03n0154_001.xml#p0074a07|6 佛說野雞經
T03n0154_001.xml#p0075a05|7 佛說前世諍女經
T03n0154_001.xml#p0075b19|8 佛說墮珠著海中經
T03n0154_001.xml#p0076a13|9 佛說旃闍摩暴志謗佛經
T03n0154_001.xml#p0076b18|10 佛說鱉獼猴經
T03n0154_001.xml#p0077a06|11 佛說五仙人經
T03n0154_002.xml#p0078b05|12 佛說舅甥經
T03n0154_002.xml#p0079a29|13 佛說閑居經
T03n0154_002.xml#p0079c23|14 佛說舍利弗般泥洹經
T03n0154_002.xml#p0080c09|15 佛說子命過經
T03n0154_002.xml#p0080c26|16 佛說比丘各言志經
T03n0154_002.xml#p0082c07|17 佛說迦旃延無常經
T03n0154_002.xml#p0083b09|18 佛說和利長者問事經
T03n0154_002.xml#p0084a01|19 佛說佛心總持經
T03n0154_002.xml#p0084c16|20 佛說護諸比丘咒經
T03n0154_002.xml#p0085a13|21 佛說吉祥咒經
T03n0154_003.xml#p0085c24|22 佛說總持經
T03n0154_003.xml#p0086b21|23 佛說所欣釋經
T03n0154_003.xml#p0087a17|24 佛說國王五人經
T03n0154_003.xml#p0088c28|25 佛說蠱狐烏經
T03n0154_003.xml#p0089b13|26 佛說比丘疾病經
T03n0154_003.xml#p0090a14|27 佛說審裸形子經
T03n0154_003.xml#p0091b09|28 佛說腹使經
T03n0154_003.xml#p0092b24|29 佛說弟子過命經
T03n0154_004.xml#p0093c14|30 佛說水牛經
T03n0154_004.xml#p0094b03|31 佛說兔王經
T03n0154_004.xml#p0094c14|32 佛說無懼經
T03n0154_004.xml#p0095a21|33 佛說五百幼童經
T03n0154_004.xml#p0095b23|34 佛說毒草經
T03n0154_004.xml#p0096a02|35 佛說鱉喻經
T03n0154_004.xml#p0096a26|36 佛說菩薩曾為鱉王經
T03n0154_004.xml#p0096b27|37 佛說毒喻經
T03n0154_004.xml#p0097a18|38 佛說誨子經
T03n0154_004.xml#p0098a15|39 佛說負為牛者經
T03n0154_004.xml#p0098c10|40 佛說光華梵志經
T03n0154_004.xml#p0099a24|41 佛說變悔喻經
T03n0154_004.xml#p0099c03|42 佛說馬喻經
T03n0154_004.xml#p0100a11|43 佛說比丘尼現變經
T03n0154_004.xml#p0100b10|44 佛說孤獨經
T03n0154_005.xml#p0100c05|45 佛說梵志經
T03n0154_005.xml#p0101b14|46 佛說君臣經
T03n0154_005.xml#p0102a08|47 佛說拘薩羅國烏王經
T03n0154_005.xml#p0102c21|48 佛說蜜具經
T03n0154_005.xml#p0103b18|49 佛說雜讚經
T03n0154_005.xml#p0103c28|50 佛說驢駝經
T03n0154_005.xml#p0104b23|51 佛說孔雀經
T03n0154_005.xml#p0105a19|52 佛說仙人撥劫經
T03n0154_005.xml#p0105c13|53 佛說清信士阿夷扇持父子經
T03n0154_005.xml#p0106b10|54 佛說夫婦經
T03n0154_005.xml#p0107a16|55 佛說譬喻經
T04n0197_001.xml#p0164b20|1 佛說孫陀利宿緣經
T04n0197_001.xml#p0166a02|2 佛說奢彌跋宿緣經
T04n0197_001.xml#p0166c07|3 佛說頭痛宿緣經
T04n0197_001.xml#p0167a23|4 佛說骨節煩疼因緣經
T04n0197_001.xml#p0167c01|5 佛說背痛宿緣經
T04n0197_001.xml#p0168a13|6 佛說木槍刺腳因緣經
T04n0197_002.xml#p0170b11|7 佛說地婆達兜擲石緣經
T04n0197_002.xml#p0170c21|8 佛說婆羅門女栴沙謗佛緣經
T04n0197_002.xml#p0172a10|9 佛說食馬麥宿緣經
T04n0197_002.xml#p0172c05|10 佛說苦行宿緣經
T04n0198_001.xml#p0174b11|1 桀貪王經
T04n0198_001.xml#p0175c26|2 優填王經
T04n0198_001.xml#p0176b12|3 須陀利經
T04n0198_001.xml#p0177c20|4 摩竭梵志經
T04n0198_001.xml#p0178a19|5 鏡面王經
T04n0198_001.xml#p0178c15|6 老少俱死經
T04n0198_001.xml#p0179a24|7 彌勒難經
T04n0198_001.xml#p0179c03|8 勇辭梵志經
T04n0198_001.xml#p0180a13|9 摩因提女經
T04n0198_001.xml#p0180c04|10 異學角飛經
T04n0198_002.xml#p0181c28|11 猛觀梵志經
T04n0198_002.xml#p0182c04|12 法觀梵志經
T04n0198_002.xml#p0183b16|13 兜勒梵志經
T04n0198_002.xml#p0184c24|14 蓮花色比丘尼經
T04n0198_002.xml#p0186c28|15 子父共會經
T04n0198_002.xml#p0188a11|16 維樓勒王經
T19n0987_001.xml#p0481a25|佛說咒賊經
T19n0987_001.xml#p0481b12|法華神咒經
T21n1331_001.xml#p0495a03|佛說灌頂七萬二千神王護比丘呪經
T21n1331_002.xml#p0499b07|佛說灌頂十二萬神王護比丘尼經
T21n1331_003.xml#p0501c05|佛說灌頂三歸五戒帶佩護身呪經
T21n1331_004.xml#p0504c13|佛說灌頂百結神王護身呪經
T21n1331_005.xml#p0508c02|佛說灌頂呪宮宅神王守鎮左右經
T21n1331_006.xml#p0512a02|佛說灌頂塚墓因緣四方神呪經
T21n1331_007.xml#p0515a02|佛說灌頂伏魔封印大神呪經
T21n1331_008.xml#p0517c02|佛說灌頂摩尼羅亶大神呪經
T21n1331_009.xml#p0521a06|佛說灌頂召五方龍王攝疫毒神呪上品經
T21n1331_010.xml#p0523c17|佛說灌頂梵天神策經
T21n1331_011.xml#p0528c23|佛說灌頂隨願往生十方淨土經
T21n1331_012.xml#p0532b07|佛說灌頂拔除過罪生死得度經
