豈 豈 U+8C48 U+F900
藺 藺 U+85FA U+F9F0
隣 隣 U+96A3 U+F9F1
鱗 鱗 U+9C57 U+F9F2
麟 麟 U+9E9F U+F9F3
林 林 U+6797 U+F9F4
淋 淋 U+6DCB U+F9F5
臨 臨 U+81E8 U+F9F6
立 立 U+7ACB U+F9F7
笠 笠 U+7B20 U+F9F8
粒 粒 U+7C92 U+F9F9
狀 狀 U+72C0 U+F9FA
炙 炙 U+7099 U+F9FB
識 識 U+8B58 U+F9FC
什 什 U+4EC0 U+F9FD
茶 茶 U+8336 U+F9FE
刺 刺 U+523A U+F9FF
切 切 U+5207 U+FA00
度 度 U+5EA6 U+FA01
拓 拓 U+62D3 U+FA02
糖 糖 U+7CD6 U+FA03
宅 宅 U+5B85 U+FA04
洞 洞 U+6D1E U+FA05
暴 暴 U+66B4 U+FA06
輻 輻 U+8F3B U+FA07
行 行 U+884C U+FA08
降 降 U+964D U+FA09
見 見 U+898B U+FA0A
廓 廓 U+5ED3 U+FA0B
兀 兀 U+5140 U+FA0C
嗀 嗀 U+55C0 U+FA0D
   﨎    U+FA0E
   﨏    U+FA0F
塚 塚 U+585A U+FA10
   﨑    U+FA11
晴 晴 U+6674 U+FA12
   﨓    U+FA13
   﨔    U+FA14
凞 凞 U+51DE U+FA15
猪 猪 U+732A U+FA16
益 益 U+76CA U+FA17
礼 礼 U+793C U+FA18
神 神 U+795E U+FA19
祥 祥 U+7965 U+FA1A
福 福 U+798F U+FA1B
靖 靖 U+9756 U+FA1C
精 精 U+7CBE U+FA1D
羽 羽 U+7FBD U+FA1E
   﨟    U+FA1F
蘒 蘒 U+8612 U+FA20
   﨡    U+FA21
諸 諸 U+8AF8 U+FA22
𧺯 﨣 U+27EAF U+FA23
   﨤    U+FA24
逸 逸 U+9038 U+FA25
都 都 U+90FD U+FA26
   﨧    U+FA27
   﨨    U+FA28
   﨩    U+FA29
飯 飯 U+98EF U+FA2A
飼 飼 U+98FC U+FA2B
館 館 U+9928 U+FA2C
鶴 鶴 U+9DB4 U+FA2D
   郞    U+FA2E
   隷    U+FA2F
侮 侮 U+4FAE U+FA30
   僧    U+FA31
   免    U+FA32
   勉    U+FA33
   勤    U+FA34
   卑    U+FA35
   喝    U+FA36
   嘆    U+FA37
   器    U+FA38
   塀    U+FA39
墨 墨 U+58A8 U+FA3A
   層    U+FA3B
   屮    U+FA3C
悔 悔 U+6094 U+FA3D
   慨    U+FA3E
   憎    U+FA3F
   懲    U+FA40
   敏    U+FA41
   既    U+FA42
   暑    U+FA43
梅 梅 U+6885 U+FA44
   海    U+FA45
   渚    U+FA46
   漢    U+FA47
   煮    U+FA48
   爫    U+FA49
   琢    U+FA4A
碑 碑 U+7891 U+FA4B
   社    U+FA4C
   祉    U+FA4D
   祈    U+FA4E
   祐    U+FA4F
   祖    U+FA50
   祝    U+FA51
   禍    U+FA52
   禎    U+FA53
   穀    U+FA54
   突    U+FA55
   節    U+FA56
   練    U+FA57
   縉    U+FA58
   繁    U+FA59
   署    U+FA5A
   者    U+FA5B
臭 臭 U+81ED U+FA5C
   艹    U+FA5D
   艹    U+FA5E
   著    U+FA5F
   褐    U+FA60
   視    U+FA61
   謁    U+FA62
   謹    U+FA63
   賓    U+FA64
   贈    U+FA65
辶 辶 U+8FB6 U+FA66
   逸    U+FA67
   難    U+FA68
   響    U+FA69
   頻    U+FA6A
   恵    U+FA6B
   𤋮    U+FA6C
   舘    U+FA6D
   並    U+FA70
   况    U+FA71
   全    U+FA72
   侀    U+FA73
   充    U+FA74
   冀    U+FA75
   勇    U+FA76
   勺    U+FA77
   喝    U+FA78
   啕    U+FA79
   喙    U+FA7A
   嗢    U+FA7B
   塚    U+FA7C
   墳    U+FA7D
   奄    U+FA7E
   奔    U+FA7F
   婢    U+FA80
   嬨    U+FA81
   廒    U+FA82
   廙    U+FA83
   彩    U+FA84
   徭    U+FA85
   惘    U+FA86
   慎    U+FA87
   愈    U+FA88
   憎    U+FA89
   慠    U+FA8A
   懲    U+FA8B
   戴    U+FA8C
揄 揄 U+63C4 U+FA8D
   搜    U+FA8E
   摒    U+FA8F
   敖    U+FA90
晴 晴 U+6674 U+FA91
   朗    U+FA92
   望    U+FA93
   杖    U+FA94
   歹    U+FA95
   殺    U+FA96
   流    U+FA97
   滛    U+FA98
   滋    U+FA99
   漢    U+FA9A
   瀞    U+FA9B
煮 煮 U+716E U+FA9C
   瞧    U+FA9D
   爵    U+FA9E
   犯    U+FA9F
   猪    U+FAA0
   瑱    U+FAA1
   甆    U+FAA2
   画    U+FAA3
   瘝    U+FAA4
   瘟    U+FAA5
   益    U+FAA6
   盛    U+FAA7
   直    U+FAA8
   睊    U+FAA9
   着    U+FAAA
磌 磌 U+78CC U+FAAB
   窱    U+FAAC
節 節 U+7BC0 U+FAAD
   类    U+FAAE
   絛    U+FAAF
   練    U+FAB0
   缾    U+FAB1
   者    U+FAB2
   荒    U+FAB3
   華    U+FAB4
   蝹    U+FAB5
   襁    U+FAB6
   覆    U+FAB7
   視    U+FAB8
   調    U+FAB9
   諸    U+FABA
   請    U+FABB
   謁    U+FABC
   諾    U+FABD
   諭    U+FABE
   謹    U+FABF
   變    U+FAC0
   贈    U+FAC1
   輸    U+FAC2
   遲    U+FAC3
   醙    U+FAC4
   鉶    U+FAC5
   陼    U+FAC6
   難    U+FAC7
   靖    U+FAC8
   韛    U+FAC9
   響    U+FACA
   頋    U+FACB
   頻    U+FACC
鬒 鬒 U+9B12 U+FACD
   龜    U+FACE
   𢡊    U+FACF
   𢡄    U+FAD0
   𣏕    U+FAD1
   㮝    U+FAD2
   䀘    U+FAD3
   䀹    U+FAD4
   𥉉    U+FAD5
   𥳐    U+FAD6
   𧻓    U+FAD7
   齃    U+FAD8
   龎    U+FAD9
