[麩-夫+黃] 䵃
[病-丙+包] 疱
[病-丙+尼] 痆
[目*侯] 睺
[目*妾] 𥇒
[禾*契] 稧
[禾*康] 穅
[竹/(坉-土)] 𥫱
[竹/椑] 𥴖
[竹/田/廾] 箄
[竹/耑] 篅
[至*鳥] 鵄
[藤-水+力] 蕂
[虔*(刖-月)] 㓺
[虫*敖] 𧑃
[衣*聶] 襵
[言*屑]
[豆*斗] 㪷
[貝*為] 䞈
[路-各+(合/羽)] 蹹
[路-各+習] 𨄌
[轂-車+卵] 㲉
[金*巢] 鏁
[門@(人/(人*人))] 閦
[陏-有+登] 隥
[雨/注] 霔
[雨/隻] 䨥
[風@(軷-車)] 颰
[食*希] 餙
[馬*犬] 䭾
[麵-面+少] 麨
[齒*(軋-車)] 齓
[丰*(力/石)] 䂮
[丰*力/石] 䂮
[颱-台+焱] 飚
[番*飛] 飜
[麥*丏] 麫
[髟/采] 䰂
[袖-由+夸] 袴
[專*瓦] 甎
[工*刀/言] 𮗿
[仁-二+爾] 儞
[仁-二+盾] 偱
[仁-二+辱] 傉
[葶-丁+呆] 藳
[邱-丘+共] 䢼
[〦/失/(衣-〦)] 袠
[〦/失/衣-〦] 袠
[亥*羽] 𦐤
[仁-二+戾] 㑦
[仁-二+果] 倮
[任/几] 凭
[來/貝] 賚
[徼-彳] 敫
[契-大+石] 䂮
[筋-肋+助] 筯
[日*爵] 㬭
[糸*監] 繿
[禾*犀] 穉
[口*束] 𠲿
[銜-金+缶] 䘖
[門@貝] 閴
[蒙-卄] 冡
[禾*冀] 䆊
[王*舀] 瑫
[稯-禾+木] 椶
[稯-禾+米] 糉
[王*春] 瑃
[改-己+學] 斆
[土*冏] 埛
[土*冗] 坈
[土*區] 塸
[土*庶] 墌
[土*彔] 𡍖
[土*自] 垍
[土*舀] 塪
[土*蒙-卄] 塜
[盉-木+友] 𭽽
[(ㄇ@人)/齊] 𮊞
[罥-口+ㄙ]
[亻*孟]
[宀/珠]
[彳*薑]
[忄*巳]
[田*葉]
[木*歇]
[王*巳]
[目*彌]
[目*麽]
[老/木]
[言*卡]
[豕*羽]
[革*毘]
[田*累]
[爾*來]
[目*襄]
[(改-己+未)/刀]
[口*(黍-禾+利)]
[(ㄇ@(人*人))/齊]
[竺-二+積]
[牟*舍] 
[蟲*幾]
[蟲*毗]
[闢/石]
[月*(比/土)]
[(匕/示)*(入/米)]
[飢-几+追] 䭔
[雪-雨/粉/廾] 彛
[(雪-雨)/粉/廾] 彛
[保/言] 𮘧
[壹-豆+石/木] 槖
[方*番] 旙
[馬*鹿] 騼
[鏍-糸+廾] 錍
[車*閵] 𨏦
[門@壹] 𨶮
[钁-(目*目)+賏] 𮣰
[钁-目*目+賏] 𮣰
[言*適] 讁
[沔-丏+丐] 沔
[況-口+公] 涗
[泳-永+垂] 涶
[潸-月+日] 澘
[麼-ㄠ+香] 黁
[(叵-口)@僉] 匳
[僽-秋+(夫*夫)] 𠎝
[公/心] 忩
[匆/心] 怱
[口*摩] 嚤
[口*童] 噇
[大/歲] 奯
[山*者] 𡺐
[巾*(僕-人)] 幞
[怖-布+羅] 㦬
[怖-布+龍] 𢤱
[怯-去+麼] 懡
[拱-共+音] 揞
[月*妥]
[木*埋] 榸
[木*戾] 棙
[漸/耳] 聻
[物/心] 惣
[王*己] 玘
[王*民] 珉
[由*頁] 頔
[畣-人] 畐
[益*(郊-交)] 𨜶
[言*斯] 𧬜
[路-各+孛] 𨁝
[路-各+胡] 䠒
[金*俞] 鍮
[革*(備-人)] 鞴
[齏-(月-三)]


